event_id,arm,reward_type,reward_value,delay_minutes,occurred_at
evt_000091,simulador_credito,journey_start,0.3,674.0,2026-01-01T18:50:01.833193+00:00
evt_000093,educacao_financeira,click,0.1,153.7,2026-01-01T10:20:57.421606+00:00
evt_000093,educacao_financeira,journey_start,0.3,1015.6,2026-01-02T00:42:51.421606+00:00
evt_000094,sem_oferta,click,0.1,18.4,2026-01-01T08:07:49.133359+00:00
evt_000096,sem_oferta,click,0.1,141.3,2026-01-01T10:17:54.554773+00:00
evt_000096,sem_oferta,journey_start,0.3,234.1,2026-01-01T11:50:42.554773+00:00
evt_000097,oferta_deposito,click,0.1,151.4,2026-01-01T10:31:41.105388+00:00
evt_000097,oferta_deposito,journey_start,0.3,144.7,2026-01-01T10:24:59.105388+00:00
evt_000104,simulador_credito,click,0.1,16.7,2026-01-01T08:49:12.265719+00:00
evt_000104,simulador_credito,journey_start,0.3,406.9,2026-01-01T15:19:24.265719+00:00
evt_000104,simulador_credito,conversion,1.0,7048.2,2026-01-06T06:00:42.265719+00:00
evt_000109,educacao_financeira,click,0.1,164.5,2026-01-01T11:56:59.772348+00:00
evt_000109,educacao_financeira,journey_start,0.3,356.8,2026-01-01T15:09:17.772348+00:00
evt_000110,oferta_deposito,click,0.1,51.6,2026-01-01T10:10:00.075953+00:00
evt_000110,oferta_deposito,journey_start,0.3,723.2,2026-01-01T21:21:36.075953+00:00
evt_000110,oferta_deposito,conversion,1.0,8590.4,2026-01-07T08:28:48.075953+00:00
evt_000120,simulador_credito,click,0.1,115.0,2026-01-01T12:15:19.056881+00:00
evt_000120,simulador_credito,journey_start,0.3,760.3,2026-01-01T23:00:37.056881+00:00
evt_000127,educacao_financeira,click,0.1,152.6,2026-01-01T13:38:34.220895+00:00
evt_000127,educacao_financeira,journey_start,0.3,737.5,2026-01-01T23:23:28.220895+00:00
evt_000127,educacao_financeira,conversion,1.0,7925.6,2026-01-06T23:11:34.220895+00:00
evt_000128,simulador_credito,click,0.1,37.1,2026-01-01T11:44:19.842894+00:00
evt_000128,simulador_credito,journey_start,0.3,1399.2,2026-01-02T10:26:25.842894+00:00
evt_000130,sem_oferta,click,0.1,61.3,2026-01-01T12:14:08.773992+00:00
evt_000130,sem_oferta,journey_start,0.3,1310.5,2026-01-02T09:03:20.773992+00:00
evt_000130,sem_oferta,conversion,1.0,4904.0,2026-01-04T20:56:50.773992+00:00
evt_000132,educacao_financeira,click,0.1,75.8,2026-01-01T12:37:49.450202+00:00
evt_000133,sem_oferta,click,0.1,85.5,2026-01-01T12:54:12.801802+00:00
evt_000133,sem_oferta,journey_start,0.3,991.7,2026-01-02T04:00:24.801802+00:00
evt_000137,educacao_financeira,click,0.1,90.6,2026-01-01T13:21:18.814706+00:00
evt_000140,simulador_credito,click,0.1,99.4,2026-01-01T13:47:09.201637+00:00
evt_000140,simulador_credito,journey_start,0.3,1194.9,2026-01-02T08:02:39.201637+00:00
evt_000140,simulador_credito,conversion,1.0,4081.5,2026-01-04T08:09:15.201637+00:00
evt_000142,oferta_deposito,click,0.1,26.4,2026-01-01T12:55:49.547296+00:00
evt_000144,sem_oferta,click,0.1,57.6,2026-01-01T13:36:47.679201+00:00
evt_000144,sem_oferta,journey_start,0.3,1323.5,2026-01-02T10:42:41.679201+00:00
evt_000147,educacao_financeira,click,0.1,23.7,2026-01-01T13:13:03.485201+00:00
evt_000147,educacao_financeira,journey_start,0.3,693.2,2026-01-02T00:22:33.485201+00:00
evt_000147,educacao_financeira,conversion,1.0,19061.0,2026-01-14T18:30:21.485201+00:00
evt_000152,sem_oferta,click,0.1,118.7,2026-01-01T15:14:36.272525+00:00
evt_000154,oferta_deposito,click,0.1,158.7,2026-01-01T16:26:17.560580+00:00
evt_000154,oferta_deposito,journey_start,0.3,925.2,2026-01-02T05:12:47.560580+00:00
evt_000158,simulador_credito,click,0.1,159.1,2026-01-01T16:43:46.726797+00:00
evt_000158,simulador_credito,journey_start,0.3,1145.2,2026-01-02T09:09:52.726797+00:00
evt_000158,simulador_credito,conversion,1.0,9848.3,2026-01-08T10:12:58.726797+00:00
evt_000159,sem_oferta,click,0.1,33.6,2026-01-01T14:52:22.582269+00:00
evt_000160,oferta_deposito,click,0.1,153.1,2026-01-01T17:05:04.013029+00:00
evt_000160,oferta_deposito,journey_start,0.3,560.2,2026-01-01T23:52:10.013029+00:00
evt_000160,oferta_deposito,conversion,1.0,16691.6,2026-01-13T04:43:34.013029+00:00
evt_000161,sem_oferta,click,0.1,32.7,2026-01-01T15:14:55.178501+00:00
evt_000161,sem_oferta,journey_start,0.3,1017.1,2026-01-02T07:39:19.178501+00:00
evt_000168,educacao_financeira,click,0.1,174.5,2026-01-01T18:39:29.827082+00:00
evt_000173,educacao_financeira,click,0.1,71.2,2026-01-01T17:15:23.447147+00:00
evt_000173,educacao_financeira,journey_start,0.3,1168.4,2026-01-02T11:32:35.447147+00:00
evt_000176,sem_oferta,click,0.1,68.5,2026-01-01T17:23:50.421073+00:00
evt_000179,educacao_financeira,click,0.1,174.9,2026-01-01T19:18:18.602977+00:00
evt_000179,educacao_financeira,journey_start,0.3,164.6,2026-01-01T19:08:00.602977+00:00
evt_000180,simulador_credito,click,0.1,176.2,2026-01-01T19:21:39.595437+00:00
evt_000180,simulador_credito,journey_start,0.3,1132.1,2026-01-02T11:17:33.595437+00:00
evt_000180,simulador_credito,conversion,1.0,15412.3,2026-01-12T09:17:45.595437+00:00
evt_000183,oferta_deposito,click,0.1,56.4,2026-01-01T17:36:55.172389+00:00
evt_000190,simulador_credito,click,0.1,179.0,2026-01-01T20:21:52.856324+00:00
evt_000190,simulador_credito,journey_start,0.3,873.3,2026-01-02T07:56:10.856324+00:00
evt_000194,simulador_credito,click,0.1,95.3,2026-01-01T19:07:32.572048+00:00
evt_000194,simulador_credito,journey_start,0.3,98.6,2026-01-01T19:10:50.572048+00:00
evt_000194,simulador_credito,conversion,1.0,2458.9,2026-01-03T10:31:08.572048+00:00
evt_000196,simulador_credito,click,0.1,110.8,2026-01-01T19:27:52.709401+00:00
evt_000198,educacao_financeira,click,0.1,94.7,2026-01-01T19:20:11.255506+00:00
evt_000199,oferta_deposito,click,0.1,12.8,2026-01-01T17:58:46.666434+00:00
evt_000201,simulador_credito,click,0.1,178.1,2026-01-01T21:04:33.506826+00:00
evt_000201,simulador_credito,journey_start,0.3,1203.7,2026-01-02T14:10:09.506826+00:00
evt_000201,simulador_credito,conversion,1.0,11540.1,2026-01-09T18:26:33.506826+00:00
evt_000203,educacao_financeira,click,0.1,108.4,2026-01-01T19:59:16.880553+00:00
evt_000203,educacao_financeira,journey_start,0.3,861.6,2026-01-02T08:32:28.880553+00:00
evt_000203,educacao_financeira,conversion,1.0,13663.1,2026-01-11T05:53:58.880553+00:00
evt_000207,educacao_financeira,click,0.1,58.1,2026-01-01T19:23:13.326700+00:00
evt_000207,educacao_financeira,journey_start,0.3,1001.4,2026-01-02T11:06:31.326700+00:00
evt_000207,educacao_financeira,conversion,1.0,3050.1,2026-01-03T21:15:13.326700+00:00
evt_000208,educacao_financeira,click,0.1,29.8,2026-01-01T18:57:55.176784+00:00
evt_000209,simulador_credito,click,0.1,127.1,2026-01-01T20:36:09.602909+00:00
evt_000209,simulador_credito,journey_start,0.3,278.0,2026-01-01T23:07:03.602909+00:00
evt_000209,simulador_credito,conversion,1.0,4337.8,2026-01-04T18:46:51.602909+00:00
evt_000210,educacao_financeira,click,0.1,80.5,2026-01-01T19:51:41.297273+00:00
evt_000210,educacao_financeira,journey_start,0.3,563.8,2026-01-02T03:54:59.297273+00:00
evt_000216,simulador_credito,click,0.1,162.7,2026-01-01T21:50:31.163600+00:00
evt_000216,simulador_credito,journey_start,0.3,746.8,2026-01-02T07:34:37.163600+00:00
evt_000216,simulador_credito,conversion,1.0,12798.6,2026-01-10T16:26:25.163600+00:00
evt_000218,simulador_credito,click,0.1,170.4,2026-01-01T22:05:40.523049+00:00
evt_000218,simulador_credito,journey_start,0.3,920.9,2026-01-02T10:36:10.523049+00:00
evt_000218,simulador_credito,conversion,1.0,17791.4,2026-01-14T03:46:40.523049+00:00
evt_000219,oferta_deposito,click,0.1,45.4,2026-01-01T20:00:54.486769+00:00
evt_000219,oferta_deposito,journey_start,0.3,747.2,2026-01-02T07:42:42.486769+00:00
evt_000224,oferta_deposito,click,0.1,18.3,2026-01-01T20:09:40.073981+00:00
evt_000224,oferta_deposito,journey_start,0.3,1403.8,2026-01-02T19:15:10.073981+00:00
evt_000224,oferta_deposito,conversion,1.0,15409.5,2026-01-12T12:40:52.073981+00:00
evt_000228,educacao_financeira,click,0.1,32.2,2026-01-01T20:49:19.720235+00:00
evt_000228,educacao_financeira,journey_start,0.3,790.6,2026-01-02T09:27:43.720235+00:00
evt_000231,educacao_financeira,click,0.1,137.7,2026-01-01T23:08:48.730771+00:00
evt_000232,sem_oferta,click,0.1,69.7,2026-01-01T22:07:43.520440+00:00
evt_000232,sem_oferta,journey_start,0.3,1358.9,2026-01-02T19:36:55.520440+00:00
evt_000235,oferta_deposito,click,0.1,62.6,2026-01-01T22:46:13.625159+00:00
evt_000241,educacao_financeira,click,0.1,178.9,2026-01-02T01:32:49.979464+00:00
evt_000241,educacao_financeira,journey_start,0.3,75.0,2026-01-01T23:48:55.979464+00:00
evt_000241,educacao_financeira,conversion,1.0,11389.4,2026-01-09T20:23:19.979464+00:00
evt_000246,oferta_deposito,click,0.1,173.0,2026-01-02T01:46:03.044916+00:00
evt_000246,oferta_deposito,journey_start,0.3,506.4,2026-01-02T07:19:27.044916+00:00
evt_000248,sem_oferta,click,0.1,155.9,2026-01-02T01:35:15.207808+00:00
evt_000248,sem_oferta,journey_start,0.3,979.4,2026-01-02T15:18:45.207808+00:00
evt_000259,educacao_financeira,click,0.1,76.3,2026-01-02T01:26:18.938904+00:00
evt_000259,educacao_financeira,journey_start,0.3,1122.4,2026-01-02T18:52:24.938904+00:00
evt_000259,educacao_financeira,conversion,1.0,20014.7,2026-01-15T21:44:42.938904+00:00
evt_000260,educacao_financeira,click,0.1,51.3,2026-01-02T01:16:42.270189+00:00
evt_000260,educacao_financeira,journey_start,0.3,701.5,2026-01-02T12:06:54.270189+00:00
evt_000260,educacao_financeira,conversion,1.0,5613.5,2026-01-05T21:58:54.270189+00:00
evt_000271,simulador_credito,click,0.1,33.0,2026-01-02T01:42:35.567842+00:00
evt_000273,oferta_deposito,click,0.1,97.2,2026-01-02T02:47:31.604839+00:00
evt_000273,oferta_deposito,journey_start,0.3,1416.1,2026-01-03T00:46:25.604839+00:00
evt_000273,oferta_deposito,conversion,1.0,2168.4,2026-01-03T13:18:43.604839+00:00
evt_000277,sem_oferta,click,0.1,48.8,2026-01-02T02:08:17.988629+00:00
evt_000278,educacao_financeira,click,0.1,150.8,2026-01-02T03:55:04.126491+00:00
evt_000279,oferta_deposito,click,0.1,18.7,2026-01-02T01:44:50.736683+00:00
evt_000291,sem_oferta,click,0.1,129.6,2026-01-02T04:10:51.753222+00:00
evt_000291,sem_oferta,journey_start,0.3,282.7,2026-01-02T06:43:57.753222+00:00
evt_000292,oferta_deposito,click,0.1,60.6,2026-01-02T03:03:59.385193+00:00
evt_000292,oferta_deposito,journey_start,0.3,149.4,2026-01-02T04:32:47.385193+00:00
evt_000292,oferta_deposito,conversion,1.0,20106.6,2026-01-16T01:09:59.385193+00:00
evt_000296,simulador_credito,click,0.1,35.4,2026-01-02T02:54:01.380014+00:00
evt_000296,simulador_credito,journey_start,0.3,994.6,2026-01-02T18:53:13.380014+00:00
evt_000296,simulador_credito,conversion,1.0,18422.4,2026-01-14T21:21:01.380014+00:00
evt_000301,sem_oferta,click,0.1,110.3,2026-01-02T04:59:58.250876+00:00
evt_000305,educacao_financeira,click,0.1,91.5,2026-01-02T04:55:13.092850+00:00
evt_000305,educacao_financeira,journey_start,0.3,170.2,2026-01-02T06:13:55.092850+00:00
evt_000316,educacao_financeira,click,0.1,29.6,2026-01-02T05:29:22.737893+00:00
evt_000316,educacao_financeira,journey_start,0.3,148.3,2026-01-02T07:28:04.737893+00:00
evt_000318,oferta_deposito,click,0.1,24.5,2026-01-02T05:30:52.593279+00:00
evt_000318,oferta_deposito,journey_start,0.3,231.5,2026-01-02T08:57:52.593279+00:00
evt_000318,oferta_deposito,conversion,1.0,6491.1,2026-01-06T17:17:28.593279+00:00
evt_000319,oferta_deposito,click,0.1,179.4,2026-01-02T08:19:52.778734+00:00
evt_000319,oferta_deposito,journey_start,0.3,524.4,2026-01-02T14:04:52.778734+00:00
evt_000324,educacao_financeira,click,0.1,87.9,2026-01-02T07:46:24.517892+00:00
evt_000324,educacao_financeira,journey_start,0.3,481.5,2026-01-02T14:20:00.517892+00:00
evt_000324,educacao_financeira,conversion,1.0,16383.8,2026-01-13T15:22:18.517892+00:00
evt_000325,simulador_credito,click,0.1,120.9,2026-01-02T08:19:33.306418+00:00
evt_000325,simulador_credito,journey_start,0.3,506.1,2026-01-02T14:44:45.306418+00:00
evt_000325,simulador_credito,conversion,1.0,10444.4,2026-01-09T12:23:03.306418+00:00
evt_000328,simulador_credito,click,0.1,91.2,2026-01-02T08:09:01.408231+00:00
evt_000331,sem_oferta,click,0.1,98.3,2026-01-02T08:46:53.496421+00:00
evt_000331,sem_oferta,journey_start,0.3,752.9,2026-01-02T19:41:29.496421+00:00
evt_000331,sem_oferta,conversion,1.0,3233.7,2026-01-04T13:02:17.496421+00:00
evt_000332,educacao_financeira,click,0.1,145.6,2026-01-02T09:45:49.124718+00:00
evt_000332,educacao_financeira,journey_start,0.3,1253.9,2026-01-03T04:14:07.124718+00:00
evt_000334,simulador_credito,click,0.1,131.2,2026-01-02T09:51:02.322455+00:00
evt_000334,simulador_credito,journey_start,0.3,701.5,2026-01-02T19:21:20.322455+00:00
evt_000334,simulador_credito,conversion,1.0,16275.3,2026-01-13T14:55:08.322455+00:00
evt_000336,simulador_credito,click,0.1,77.1,2026-01-02T09:06:08.603267+00:00
evt_000336,simulador_credito,journey_start,0.3,882.9,2026-01-02T22:31:56.603267+00:00
evt_000337,educacao_financeira,click,0.1,105.7,2026-01-02T09:36:29.823223+00:00
evt_000337,educacao_financeira,journey_start,0.3,582.3,2026-01-02T17:33:05.823223+00:00
evt_000337,educacao_financeira,conversion,1.0,13233.6,2026-01-11T12:24:23.823223+00:00
evt_000339,oferta_deposito,click,0.1,86.0,2026-01-02T09:30:45.367465+00:00
evt_000339,oferta_deposito,journey_start,0.3,223.6,2026-01-02T11:48:21.367465+00:00
evt_000339,oferta_deposito,conversion,1.0,16287.1,2026-01-13T15:31:51.367465+00:00
evt_000342,oferta_deposito,click,0.1,106.6,2026-01-02T09:58:28.954507+00:00
evt_000344,simulador_credito,click,0.1,171.2,2026-01-02T11:13:11.400490+00:00
evt_000344,simulador_credito,journey_start,0.3,1122.6,2026-01-03T03:04:35.400490+00:00
evt_000344,simulador_credito,conversion,1.0,17862.4,2026-01-14T18:04:23.400490+00:00
evt_000346,educacao_financeira,click,0.1,177.1,2026-01-02T11:22:08.921916+00:00
evt_000346,educacao_financeira,journey_start,0.3,1324.5,2026-01-03T06:29:32.921916+00:00
evt_000347,sem_oferta,click,0.1,162.8,2026-01-02T11:09:53.163780+00:00
evt_000347,sem_oferta,journey_start,0.3,183.5,2026-01-02T11:30:35.163780+00:00
evt_000354,sem_oferta,click,0.1,170.7,2026-01-02T12:15:57.652451+00:00
evt_000354,sem_oferta,journey_start,0.3,634.8,2026-01-02T20:00:03.652451+00:00
evt_000354,sem_oferta,conversion,1.0,10723.7,2026-01-09T20:08:57.652451+00:00
evt_000355,simulador_credito,click,0.1,177.9,2026-01-02T12:28:07.042424+00:00
evt_000355,simulador_credito,journey_start,0.3,1158.7,2026-01-03T04:48:55.042424+00:00
evt_000355,simulador_credito,conversion,1.0,3232.6,2026-01-04T15:22:49.042424+00:00
evt_000361,oferta_deposito,click,0.1,93.1,2026-01-02T11:22:23.586544+00:00
evt_000361,oferta_deposito,journey_start,0.3,217.0,2026-01-02T13:26:17.586544+00:00
evt_000361,oferta_deposito,conversion,1.0,5490.1,2026-01-06T05:19:23.586544+00:00
evt_000363,simulador_credito,click,0.1,164.3,2026-01-02T12:42:14.450487+00:00
evt_000374,simulador_credito,click,0.1,122.0,2026-01-02T13:17:47.845593+00:00
evt_000374,simulador_credito,journey_start,0.3,1439.6,2026-01-03T11:15:23.845593+00:00
evt_000376,oferta_deposito,click,0.1,102.1,2026-01-02T13:01:01.492897+00:00
evt_000380,sem_oferta,click,0.1,136.4,2026-01-02T13:45:37.838632+00:00
evt_000381,educacao_financeira,click,0.1,81.1,2026-01-02T12:58:12.017314+00:00
evt_000381,educacao_financeira,journey_start,0.3,808.6,2026-01-03T01:05:42.017314+00:00
evt_000381,educacao_financeira,conversion,1.0,9174.2,2026-01-08T20:31:18.017314+00:00
evt_000382,simulador_credito,click,0.1,34.6,2026-01-02T12:15:56.569048+00:00
evt_000382,simulador_credito,journey_start,0.3,1124.7,2026-01-03T06:26:02.569048+00:00
evt_000382,simulador_credito,conversion,1.0,16005.9,2026-01-13T14:27:14.569048+00:00
evt_000387,oferta_deposito,click,0.1,67.6,2026-01-02T13:29:23.314575+00:00
evt_000387,oferta_deposito,journey_start,0.3,1244.6,2026-01-03T09:06:23.314575+00:00
evt_000387,oferta_deposito,conversion,1.0,6633.8,2026-01-07T02:55:35.314575+00:00
evt_000388,simulador_credito,click,0.1,21.4,2026-01-02T12:47:04.718234+00:00
evt_000388,simulador_credito,journey_start,0.3,1344.1,2026-01-03T10:49:46.718234+00:00
evt_000388,simulador_credito,conversion,1.0,9851.8,2026-01-09T08:37:28.718234+00:00
evt_000391,simulador_credito,click,0.1,33.4,2026-01-02T13:12:05.266901+00:00
evt_000391,simulador_credito,journey_start,0.3,320.6,2026-01-02T17:59:17.266901+00:00
evt_000391,simulador_credito,conversion,1.0,13333.6,2026-01-11T18:52:17.266901+00:00
evt_000392,educacao_financeira,click,0.1,148.4,2026-01-02T15:17:24.784045+00:00
evt_000394,sem_oferta,click,0.1,93.2,2026-01-02T14:37:32.147984+00:00
evt_000402,simulador_credito,click,0.1,84.9,2026-01-02T14:59:36.188820+00:00
evt_000403,simulador_credito,click,0.1,78.0,2026-01-02T14:54:37.004107+00:00
evt_000403,simulador_credito,journey_start,0.3,330.3,2026-01-02T19:06:55.004107+00:00
evt_000405,educacao_financeira,click,0.1,174.1,2026-01-02T16:33:33.432471+00:00
evt_000405,educacao_financeira,journey_start,0.3,680.9,2026-01-03T01:00:21.432471+00:00
evt_000405,educacao_financeira,conversion,1.0,10608.3,2026-01-09T22:27:45.432471+00:00
evt_000406,simulador_credito,click,0.1,65.3,2026-01-02T14:44:52.626867+00:00
evt_000408,simulador_credito,click,0.1,85.8,2026-01-02T15:15:00.546956+00:00
evt_000408,simulador_credito,journey_start,0.3,485.1,2026-01-02T21:54:18.546956+00:00
evt_000408,simulador_credito,conversion,1.0,5927.6,2026-01-06T16:36:48.546956+00:00
evt_000409,simulador_credito,click,0.1,97.9,2026-01-02T15:38:08.522998+00:00
evt_000409,simulador_credito,journey_start,0.3,717.1,2026-01-03T01:57:20.522998+00:00
evt_000412,simulador_credito,click,0.1,80.4,2026-01-02T15:40:49.732682+00:00
evt_000415,educacao_financeira,click,0.1,166.3,2026-01-02T17:17:59.106906+00:00
evt_000415,educacao_financeira,journey_start,0.3,215.7,2026-01-02T18:07:23.106906+00:00
evt_000415,educacao_financeira,conversion,1.0,19590.4,2026-01-16T05:02:05.106906+00:00
evt_000416,simulador_credito,click,0.1,170.7,2026-01-02T17:27:03.782119+00:00
evt_000416,simulador_credito,journey_start,0.3,1322.2,2026-01-03T12:38:33.782119+00:00
evt_000416,simulador_credito,conversion,1.0,9045.3,2026-01-08T21:21:39.782119+00:00
evt_000417,simulador_credito,click,0.1,67.3,2026-01-02T15:52:33.443129+00:00
evt_000417,simulador_credito,journey_start,0.3,901.5,2026-01-03T05:46:45.443129+00:00
evt_000418,educacao_financeira,click,0.1,95.2,2026-01-02T16:22:59.923482+00:00
evt_000418,educacao_financeira,journey_start,0.3,1406.4,2026-01-03T14:14:11.923482+00:00
evt_000418,educacao_financeira,conversion,1.0,17510.1,2026-01-14T18:37:53.923482+00:00
evt_000420,simulador_credito,click,0.1,51.1,2026-01-02T15:42:44.616529+00:00
evt_000420,simulador_credito,journey_start,0.3,1333.7,2026-01-03T13:05:20.616529+00:00
evt_000420,simulador_credito,conversion,1.0,20118.4,2026-01-16T14:10:02.616529+00:00
evt_000421,simulador_credito,click,0.1,83.0,2026-01-02T16:16:00.644752+00:00
evt_000421,simulador_credito,journey_start,0.3,183.2,2026-01-02T17:56:12.644752+00:00
evt_000427,sem_oferta,click,0.1,166.6,2026-01-02T18:08:12.334799+00:00
evt_000427,sem_oferta,journey_start,0.3,251.6,2026-01-02T19:33:12.334799+00:00
evt_000427,sem_oferta,conversion,1.0,16642.5,2026-01-14T04:44:06.334799+00:00
evt_000428,simulador_credito,click,0.1,147.6,2026-01-02T17:49:57.926081+00:00
evt_000428,simulador_credito,journey_start,0.3,866.0,2026-01-03T05:48:21.926081+00:00
evt_000428,simulador_credito,conversion,1.0,1796.3,2026-01-03T21:18:39.926081+00:00
evt_000429,simulador_credito,click,0.1,63.1,2026-01-02T16:27:00.049869+00:00
evt_000437,simulador_credito,click,0.1,5.3,2026-01-02T16:06:42.317886+00:00
evt_000437,simulador_credito,journey_start,0.3,1149.1,2026-01-03T11:10:30.317886+00:00
evt_000437,simulador_credito,conversion,1.0,11592.0,2026-01-10T17:13:24.317886+00:00
evt_000440,oferta_deposito,click,0.1,42.2,2026-01-02T17:06:37.401443+00:00
evt_000441,sem_oferta,click,0.1,133.1,2026-01-02T18:38:30.057433+00:00
evt_000446,sem_oferta,click,0.1,51.7,2026-01-02T17:37:38.147005+00:00
evt_000447,oferta_deposito,click,0.1,61.4,2026-01-02T17:48:41.368425+00:00
