event_id,occurred_at,subject_key,segment,channel,age,job,month,poutcome,previous,base_propensity,available_arms,logging_policy,chosen_arm
evt_000038,2026-01-01T02:50:18.525925+00:00,sub_011399,novo,app,54,housemaid,jun,nonexistent,0,0.0336,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000039,2026-01-01T02:50:21.528376+00:00,sub_026016,novo,email,52,management,nov,nonexistent,0,0.0597,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000040,2026-01-01T02:52:05.269218+00:00,sub_006805,novo,email,42,blue-collar,may,nonexistent,0,0.0287,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000041,2026-01-01T03:01:59.375201+00:00,sub_031224,recorrente,app,39,admin.,may,failure,1,0.0848,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000042,2026-01-01T03:02:33.600724+00:00,sub_028853,novo,email,23,blue-collar,apr,nonexistent,0,0.1185,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000043,2026-01-01T03:05:46.134042+00:00,sub_014602,novo,app,34,management,jul,nonexistent,0,0.0583,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000044,2026-01-01T03:12:05.556038+00:00,sub_002797,novo,web,41,technician,may,nonexistent,0,0.0361,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000045,2026-01-01T03:12:13.204172+00:00,sub_039981,reativado,app,35,admin.,jun,success,1,0.797,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000046,2026-01-01T03:14:39.804876+00:00,sub_018356,novo,web,42,admin.,jul,nonexistent,0,0.0234,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000047,2026-01-01T03:30:57.876483+00:00,sub_036785,novo,email,59,retired,jun,nonexistent,0,0.2799,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000048,2026-01-01T03:45:20.704200+00:00,sub_027922,novo,email,28,admin.,mar,nonexistent,0,0.387,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000049,2026-01-01T03:47:14.239551+00:00,sub_032060,novo,email,41,technician,may,nonexistent,0,0.102,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000050,2026-01-01T03:48:46.920715+00:00,sub_031298,novo,app,44,admin.,may,nonexistent,0,0.1195,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000051,2026-01-01T03:48:50.035770+00:00,sub_008016,novo,email,24,admin.,jun,nonexistent,0,0.0335,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000052,2026-01-01T03:49:57.169449+00:00,sub_014988,novo,web,36,blue-collar,jul,nonexistent,0,0.0566,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000053,2026-01-01T03:57:05.922781+00:00,sub_019223,novo,web,46,admin.,aug,nonexistent,0,0.0595,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000054,2026-01-01T04:00:09.149278+00:00,sub_020503,novo,email,32,technician,aug,nonexistent,0,0.0586,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000055,2026-01-01T04:04:00.325094+00:00,sub_001804,novo,web,43,admin.,may,nonexistent,0,0.036,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000056,2026-01-01T04:08:03.974349+00:00,sub_022512,novo,web,58,blue-collar,aug,nonexistent,0,0.0535,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000057,2026-01-01T04:12:45.113536+00:00,sub_006354,novo,web,42,housemaid,may,nonexistent,0,0.0269,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000058,2026-01-01T04:23:11.515048+00:00,sub_030618,novo,web,30,unknown,may,nonexistent,0,0.1007,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000059,2026-01-01T04:30:26.008190+00:00,sub_028133,recorrente,email,31,technician,apr,failure,1,0.135,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000060,2026-01-01T04:34:50.232289+00:00,sub_037997,novo,web,71,retired,sep,nonexistent,0,0.4588,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000061,2026-01-01T04:45:30.723224+00:00,sub_030675,novo,web,37,admin.,may,nonexistent,0,0.0841,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000062,2026-01-01T04:50:23.988198+00:00,sub_015101,novo,app,50,blue-collar,jul,nonexistent,0,0.067,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000063,2026-01-01T05:02:13.481170+00:00,sub_039849,novo,web,21,student,jun,nonexistent,0,0.5618,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000064,2026-01-01T05:03:01.423304+00:00,sub_016922,novo,email,55,unknown,jul,nonexistent,0,0.0612,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000065,2026-01-01T05:22:26.222507+00:00,sub_013420,novo,web,46,technician,jul,nonexistent,0,0.0766,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000066,2026-01-01T05:28:57.313345+00:00,sub_037297,reativado,app,35,admin.,aug,success,3,0.6136,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000067,2026-01-01T05:39:45.276211+00:00,sub_015258,novo,web,42,self-employed,jul,nonexistent,0,0.0417,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000068,2026-01-01T05:41:10.484125+00:00,sub_003144,novo,email,34,blue-collar,may,nonexistent,0,0.0314,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000069,2026-01-01T05:43:25.581709+00:00,sub_019340,novo,app,31,technician,aug,nonexistent,0,0.0645,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000070,2026-01-01T05:43:41.473995+00:00,sub_032772,novo,app,38,services,may,nonexistent,0,0.0982,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000071,2026-01-01T05:51:37.567732+00:00,sub_007803,novo,web,44,technician,jun,nonexistent,0,0.0388,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000072,2026-01-01T06:06:22.400842+00:00,sub_019067,novo,web,45,technician,aug,nonexistent,0,0.0584,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000073,2026-01-01T06:07:24.261484+00:00,sub_005351,novo,app,37,admin.,may,nonexistent,0,0.0397,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000074,2026-01-01T06:11:44.044830+00:00,sub_028274,novo,email,29,technician,apr,nonexistent,0,0.2022,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000075,2026-01-01T06:15:07.887218+00:00,sub_019593,novo,email,31,admin.,aug,nonexistent,0,0.057,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000076,2026-01-01T06:16:44.713346+00:00,sub_013600,novo,web,30,blue-collar,jul,nonexistent,0,0.0625,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000077,2026-01-01T06:21:11.615685+00:00,sub_009345,novo,web,34,blue-collar,jun,nonexistent,0,0.0133,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000078,2026-01-01T06:23:37.460947+00:00,sub_023250,novo,app,44,technician,aug,nonexistent,0,0.0544,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000079,2026-01-01T06:23:46.813815+00:00,sub_027588,novo,email,48,admin.,nov,nonexistent,0,0.0601,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000080,2026-01-01T06:26:07.878458+00:00,sub_038729,recorrente,email,63,management,nov,failure,2,0.2553,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000081,2026-01-01T06:30:13.924347+00:00,sub_018005,novo,web,45,housemaid,jul,nonexistent,0,0.0596,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000082,2026-01-01T06:41:05.127018+00:00,sub_006618,novo,web,49,management,may,nonexistent,0,0.0385,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000083,2026-01-01T06:51:23.698155+00:00,sub_034296,novo,email,35,services,may,nonexistent,0,0.1015,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000084,2026-01-01T06:53:07.146256+00:00,sub_025938,novo,email,43,blue-collar,nov,nonexistent,0,0.0384,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000085,2026-01-01T07:00:27.087039+00:00,sub_028842,novo,app,44,management,apr,nonexistent,0,0.2016,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000086,2026-01-01T07:10:06.809599+00:00,sub_004004,novo,email,45,blue-collar,may,nonexistent,0,0.0338,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000087,2026-01-01T07:15:09.072967+00:00,sub_012865,novo,email,35,blue-collar,jul,nonexistent,0,0.0547,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000088,2026-01-01T07:19:23.133493+00:00,sub_031625,novo,email,28,technician,may,nonexistent,0,0.1166,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000089,2026-01-01T07:32:41.966894+00:00,sub_034279,novo,web,31,services,may,nonexistent,0,0.0966,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000090,2026-01-01T07:33:53.772281+00:00,sub_017925,novo,web,59,housemaid,jul,nonexistent,0,0.0612,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000091,2026-01-01T07:36:01.833193+00:00,sub_033146,novo,app,32,admin.,may,nonexistent,0,0.0734,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000092,2026-01-01T07:37:17.216904+00:00,sub_034667,novo,web,32,technician,may,nonexistent,0,0.1088,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000093,2026-01-01T07:47:15.421606+00:00,sub_015959,novo,app,23,admin.,jul,nonexistent,0,0.0718,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000094,2026-01-01T07:49:25.133359+00:00,sub_036990,novo,web,56,retired,jul,nonexistent,0,0.4214,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000095,2026-01-01T07:55:55.234548+00:00,sub_011875,novo,app,57,self-employed,jun,nonexistent,0,0.0335,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000096,2026-01-01T07:56:36.554773+00:00,sub_009866,novo,web,27,admin.,jun,nonexistent,0,0.0418,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000097,2026-01-01T08:00:17.105388+00:00,sub_028110,novo,web,47,technician,apr,nonexistent,0,0.2025,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000098,2026-01-01T08:09:55.553557+00:00,sub_026226,novo,app,46,management,nov,nonexistent,0,0.0637,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000099,2026-01-01T08:12:54.707781+00:00,sub_005756,novo,email,40,admin.,may,nonexistent,0,0.036,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000100,2026-01-01T08:13:44.240760+00:00,sub_034298,novo,web,38,blue-collar,may,nonexistent,0,0.089,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000101,2026-01-01T08:19:46.108400+00:00,sub_008233,novo,email,56,management,jun,nonexistent,0,0.034,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000102,2026-01-01T08:22:11.093475+00:00,sub_033152,novo,app,34,technician,may,nonexistent,0,0.1202,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000103,2026-01-01T08:23:09.733527+00:00,sub_000303,novo,email,43,unknown,may,nonexistent,0,0.0347,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000104,2026-01-01T08:32:30.265719+00:00,sub_032820,recorrente,app,29,admin.,may,failure,1,0.0697,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000105,2026-01-01T08:35:37.633453+00:00,sub_032411,novo,web,34,admin.,may,nonexistent,0,0.1144,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000106,2026-01-01T08:43:07.276095+00:00,sub_032141,novo,web,37,blue-collar,may,nonexistent,0,0.0875,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000107,2026-01-01T08:45:25.541403+00:00,sub_027383,novo,web,42,admin.,nov,nonexistent,0,0.0629,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000108,2026-01-01T08:59:17.878889+00:00,sub_019422,novo,web,31,services,aug,nonexistent,0,0.0503,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000109,2026-01-01T09:12:29.772348+00:00,sub_029044,novo,email,38,technician,apr,nonexistent,0,0.2124,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000110,2026-01-01T09:18:24.075953+00:00,sub_011414,novo,app,40,blue-collar,jun,nonexistent,0,0.037,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000111,2026-01-01T09:20:11.903672+00:00,sub_032156,recorrente,email,37,self-employed,may,failure,1,0.0735,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000112,2026-01-01T09:21:57.152398+00:00,sub_022885,novo,app,44,blue-collar,aug,nonexistent,0,0.0455,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000113,2026-01-01T09:29:14.105784+00:00,sub_018901,novo,app,45,blue-collar,aug,nonexistent,0,0.0535,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000114,2026-01-01T09:34:14.619680+00:00,sub_020824,novo,app,48,technician,aug,nonexistent,0,0.0527,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000115,2026-01-01T09:37:40.569048+00:00,sub_023425,novo,email,47,admin.,aug,nonexistent,0,0.0454,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000116,2026-01-01T09:46:13.670399+00:00,sub_001534,novo,app,49,unemployed,may,nonexistent,0,0.0347,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000117,2026-01-01T09:57:19.361224+00:00,sub_005757,novo,web,29,blue-collar,may,nonexistent,0,0.03,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000118,2026-01-01T10:01:14.667575+00:00,sub_010110,novo,web,59,services,jun,nonexistent,0,0.0375,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000119,2026-01-01T10:07:07.159089+00:00,sub_004717,novo,email,33,management,may,nonexistent,0,0.0371,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000120,2026-01-01T10:20:19.056881+00:00,sub_018106,novo,web,44,admin.,jul,nonexistent,0,0.0832,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000121,2026-01-01T10:24:50.985048+00:00,sub_027530,novo,email,43,services,nov,nonexistent,0,0.0497,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000122,2026-01-01T10:42:49.089666+00:00,sub_026954,novo,email,42,services,nov,nonexistent,0,0.0544,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000123,2026-01-01T10:45:16.559440+00:00,sub_019403,novo,email,46,management,aug,nonexistent,0,0.0468,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000124,2026-01-01T10:46:09.984981+00:00,sub_035219,novo,email,25,blue-collar,may,nonexistent,0,0.0781,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000125,2026-01-01T10:54:36.108966+00:00,sub_023280,novo,app,41,technician,aug,nonexistent,0,0.0558,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000126,2026-01-01T11:03:51.575112+00:00,sub_003261,novo,web,36,unknown,may,nonexistent,0,0.0349,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000127,2026-01-01T11:05:58.220895+00:00,sub_031508,recorrente,web,33,admin.,may,failure,1,0.0733,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000128,2026-01-01T11:07:13.842894+00:00,sub_023666,novo,app,45,services,aug,nonexistent,0,0.0333,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000129,2026-01-01T11:09:15.634107+00:00,sub_026142,novo,app,53,unemployed,nov,nonexistent,0,0.0561,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000130,2026-01-01T11:12:50.773992+00:00,sub_023286,novo,app,50,blue-collar,aug,nonexistent,0,0.045,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000131,2026-01-01T11:17:42.070718+00:00,sub_022800,novo,email,35,technician,aug,nonexistent,0,0.0558,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000132,2026-01-01T11:22:01.450202+00:00,sub_003730,novo,web,54,technician,may,nonexistent,0,0.0307,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000133,2026-01-01T11:28:42.801802+00:00,sub_023032,novo,app,57,retired,aug,nonexistent,0,0.0626,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000134,2026-01-01T11:33:37.492473+00:00,sub_032740,novo,email,34,blue-collar,may,nonexistent,0,0.1017,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000135,2026-01-01T11:39:37.860504+00:00,sub_012519,novo,email,48,blue-collar,jul,nonexistent,0,0.0597,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
